Parent,Group,Key,Value,ExtendedProperties
crm,custom-ref-partner-origin,A,Automatic Determination,
crm,custom-ref-partner-origin,B,Selected,
crm,custom-ref-partner-origin,C,Entered Manually,
crm,custom-ref-partner-type,BP,Business Partner Number,
crm,custom-ref-partner-type,CP,Central Person,
crm,custom-ref-partner-type,EX,External Partner,
crm,custom-ref-partner-type,HG,Hierarchy Tree GUID,
crm,custom-ref-partner-type,HN,Hierarchy Node (of a Business Partner Hierarchy),
crm,custom-ref-partner-type,HT,Hierarchy Tree,
crm,custom-ref-partner-type,NG,Hierarchy Node GUID,
crm,custom-ref-partner-type,O,Org. Unit,
crm,custom-ref-partner-type,T,Team,
crm,custom-ref-partner-type,US,System User (User Name),
crm,custom-ref-partner-type,DEFAULT_NULL,Business Partner GUID,
lookup-crm-process-type,Cleansed.crm_0crm_proc_type_text,processTypeCode,processTypeDescription,
lookup-crm-status-text,Cleansed.crm_tj30t,statusProfile||statusCode,status,
lookup-crm-source,Cleansed.crm_zcst_source,sourceCode,source,
lookup-crm-service-team,Cleansed.crm_0bpartner_attr,businessPartnerNumber,nameGroup2,"{""filter"": ""businessPartnerType = 2""}"
lookup-crm-partner-function-text,Cleansed.crm_crmc_partner_ft,partnerFunctionCode,partnerFunctionDescription,
lookup-crm-domain-text,Cleansed.crm_dd07t,domainName||domainValueKey,domainValueText,
lookup-crm-communication-channel,Cleansed.crm_0crm_category_text,categoryCode,categoryDescription,
lookup-crm-email-status,Cleansed.crm_crmd_erms_stas_t,emailStatusID,emailStatus,
lookup-isu-billing-class,Cleansed.isu_0uc_aklasse_text,billingClassCode,billingClass,
lookup-isu-rate-type,Cleansed.isu_0uc_stattart_text,rateTypeCode,rateType,
lookup-scada-bi-reference,Cleansed.iicats_bi_reference_codes,referenceField||referenceCd,referenceDescription,
lookup-scada-unit-of-measure,Cleansed.iicats_std_unit,units,auditUnit,
scada,custom-ref-parent-alarm-type,CO,Consequential,
scada,custom-ref-parent-alarm-type,MA,Maintenance,
scada,custom-ref-parent-alarm-type,NO,None,
scada,custom-ref-rtu-type,DN,DNP3,
scada,custom-ref-rtu-type,MD,Medina,
scada,custom-ref-rtu-type,MO,Modbus,
scada,custom-ref-rtu-type,SY,System,
scada,custom-ref-rtu-type,UN,Undefined,
scada,custom-ref-opc-quality,0,Bad [Non-Specific],
scada,custom-ref-opc-quality,4,Bad [Configuration Error],
scada,custom-ref-opc-quality,8,Bad [Not Connected],
scada,custom-ref-opc-quality,12,Bad [Device Failure],
scada,custom-ref-opc-quality,16,Bad [Sensor Failure],
scada,custom-ref-opc-quality,20,Bad [Last Known Value],
scada,custom-ref-opc-quality,24,Bad [Communication Failure],
scada,custom-ref-opc-quality,28,Bad [Out of Service],
scada,custom-ref-opc-quality,64,Uncertain [Non-Specific],
scada,custom-ref-opc-quality,65,Uncertain [Non-Specific] (Low Limited),
scada,custom-ref-opc-quality,66,Uncertain [Non-Specific] (High Limited),
scada,custom-ref-opc-quality,67,Uncertain [Non-Specific] (Constant),
scada,custom-ref-opc-quality,68,Uncertain [Last Usable],
scada,custom-ref-opc-quality,69,Uncertain [Last Usable] (Low Limited),
scada,custom-ref-opc-quality,70,Uncertain [Last Usable] (High Limited),
scada,custom-ref-opc-quality,71,Uncertain [Last Usable] (Constant),
scada,custom-ref-opc-quality,80,Uncertain [Sensor Not Accurate],
scada,custom-ref-opc-quality,81,Uncertain [Sensor Not Accurate] (Low Limited),
scada,custom-ref-opc-quality,82,Uncertain [Sensor Not Accurate] (High Limited),
scada,custom-ref-opc-quality,83,Uncertain [Sensor Not Accurate] (Constant),
scada,custom-ref-opc-quality,84,Uncertain [EU Exceeded],
scada,custom-ref-opc-quality,85,Uncertain [EU Exceeded] (Low Limited),
scada,custom-ref-opc-quality,86,Uncertain [EU Exceeded] (High Limited),
scada,custom-ref-opc-quality,87,Uncertain [EU Exceeded] (Constant),
scada,custom-ref-opc-quality,88,Uncertain [Sub-Normal],
scada,custom-ref-opc-quality,89,Uncertain [Sub-Normal] (Low Limited),
scada,custom-ref-opc-quality,90,Uncertain [Sub-Normal] (High Limited),
scada,custom-ref-opc-quality,91,Uncertain [Sub-Normal] (Constant),
scada,custom-ref-opc-quality,192,Good [Non-Specific],
scada,custom-ref-opc-quality,193,Good [Non-Specific] (Low Limited),
scada,custom-ref-opc-quality,194,Good [Non-Specific] (High Limited),
scada,custom-ref-opc-quality,195,Good [Non-Specific] (Constant),
scada,custom-ref-opc-quality,216,Good [Local Override],
scada,custom-ref-opc-quality,217,Good [Local Override] (Low Limited),
scada,custom-ref-opc-quality,218,Good [Local Override] (High Limited),
scada,custom-ref-opc-quality,219,Good [Local Override] (Constant),
